title,type,tmdb_id,movie_runtime_minutes,episodes_total,total_seasons,episode_run_time,tv_minutes_total,rating_stars
Pray Away,Movie,685264.0,101.0,,,,,6.695
Shiny_Flakes: The Teenage Drug Lord,Movie,850329.0,96.0,,,,,7.5
Beethoven,Movie,11806.0,87.0,,,,,5.834
Beethoven's 2nd,Movie,10438.0,89.0,,,,,5.6
Beowulf,Movie,2310.0,115.0,,,,,5.91
Boyka: Undisputed,Movie,348893.0,87.0,,,,,7.174
Catch Me If You Can,Movie,640.0,141.0,,,,,7.979
Cloudy with a Chance of Meatballs,Movie,22794.0,90.0,,,,,6.65
Deep Blue Sea,Movie,8914.0,105.0,,,,,5.991
Ferris Bueller's Day Off,Movie,9377.0,103.0,,,,,7.573
Five Feet Apart,Movie,527641.0,116.0,,,,,8.226
Freedomland,Movie,9959.0,113.0,,,,,5.2
Good Luck Chuck,Movie,10030.0,101.0,,,,,5.911
I missed you: Director's Cut,Movie,778913.0,96.0,,,,,6.6
Inception,Movie,27205.0,148.0,,,,,8.371
Magnolia,Movie,334.0,189.0,,,,,7.726
Major Payne,Movie,11008.0,95.0,,,,,6.447
My Girl,Movie,4032.0,103.0,,,,,7.4
My Girl 2,Movie,11317.0,99.0,,,,,6.0
Open Season: Scared Silly,Movie,382517.0,84.0,,,,,5.946
Pineapple Express,Movie,10189.0,111.0,,,,,6.643
Planet 51,Movie,16866.0,91.0,,,,,5.885
Poms,Movie,574241.0,91.0,,,,,6.539
Seabiscuit,Movie,4464.0,141.0,,,,,7.058
Space Cowboys,Movie,5551.0,130.0,,,,,6.4
Team America: World Police,Movie,3989.0,98.0,,,,,6.731
The Edge of Seventeen,Movie,376660.0,105.0,,,,,7.157
The Haunting in Connecticut 2: Ghosts of Georgia,Movie,150202.0,101.0,,,,,5.839
The Last Boy Scout,Movie,9319.0,105.0,,,,,6.833
The Lincoln Lawyer,Movie,50348.0,119.0,,,,,7.2
The Losers,Movie,34813.0,97.0,,,,,6.3
The Machinist,Movie,4553.0,101.0,,,,,7.524
The Net,Movie,1642.0,114.0,,,,,6.0
The Original Kings of Comedy,Movie,23618.0,115.0,,,,,6.4
Valentine's Day,Movie,138290.0,88.0,,,,,4.8
The Lost Café,Movie,588079.0,76.0,,,,,5.0
The Vault,Movie,108888.0,72.0,,,,,2.0
Eyes of a Thief,Movie,295621.0,103.0,,,,,5.2
I'm Glad I Did,Movie,752973.0,123.0,,,,,7.6
Pomegranates and Myrrh,Movie,74300.0,95.0,,,,,5.2
Rurouni Kenshin: The Beginning,Movie,672322.0,138.0,,,,,7.7
The Last Mercenary,Movie,729720.0,110.0,,,,,6.395
Flower Girl,Movie,1488158.0,74.0,,,,,0.0
Resort to Love,Movie,785539.0,101.0,,,,,7.168
Bartkowiak,Movie,809968.0,91.0,,,,,6.0
Fantastic Fungi,Movie,612654.0,80.0,,,,,7.233
Department,Movie,117784.0,141.0,,,,,6.3
Hostage House,Movie,814853.0,90.0,,,,,6.4
Mimi,Movie,237443.0,94.0,,,,,5.2
The Operative,Movie,574207.0,120.0,,,,,5.8
Django Unchained,Movie,68718.0,165.0,,,,,8.185
A Second Chance:  Rivals!,Movie,588730.0,89.0,,,,,6.941
African America,Movie,853371.0,97.0,,,,,2.0
Bankrolled,Movie,845422.0,97.0,,,,,5.5
Blood Red Sky,Movie,760883.0,123.0,,,,,6.815
